Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Isolation Forest (10%),0.9371789806400632,0.784,0.4260869565217391,0.5521126760563381,0.6390685524252215,0.5015989087599199
One-Class SVM (10%),0.9579217700513631,0.8664688427299704,0.6347826086956522,0.7327478042659975,0.7715355327551349,0.7417823419259332
LOF (10%),0.9612801264322403,0.8069767441860465,0.7543478260869565,0.7797752808988764,0.8398857774502579,0.7900109167133934
PCA (10%),0.9626629790596603,0.8519480519480519,0.7130434782608696,0.7763313609467456,0.7885106664399221,0.753024584832483
Autoencoder (10%),0.9636507309363888,0.8254716981132075,0.7608695652173914,0.7918552036199095,0.901264100674565,0.8143697256617509
BiLSTM (10%),0.9012296707655693,0.023809523809523808,0.002183406113537118,0.004,0.4912411311034393,0.08914128720313555
Isolation Forest (15%),0.9142101284958428,0.8430232558139535,0.42028985507246375,0.5609284332688588,0.6427884221730943,0.5241847445007324
One-Class SVM (15%),0.9429327286470144,0.9058577405857741,0.6275362318840579,0.7414383561643836,0.7911563340450593,0.778007973225898
LOF (15%),0.9546485260770975,0.8652597402597403,0.7724637681159421,0.8162327718223583,0.8531778873709603,0.8202313437596831
PCA (15%),0.9544595616024187,0.8987566607460036,0.7333333333333333,0.8076616121308858,0.802380187568102,0.7842579980324422
Autoencoder (15%),0.9574829931972789,0.8792822185970636,0.7811594202898551,0.827321565617805,0.9097371023310596,0.8440313760978181
BiLSTM (15%),0.8651365705614568,0.0,0.0,0.0,0.48371531794106903,0.12121758698752258
Isolation Forest (20%),0.8915248098515031,0.8741258741258742,0.4076086956521739,0.5559673832468495,0.6462470239782325,0.5554975592167941
One-Class SVM (20%),0.9293734154291923,0.9274193548387096,0.625,0.7467532467532467,0.7875207849139316,0.7916377535730179
LOF (20%),0.9469395146685984,0.8953341740226987,0.7717391304347826,0.8289550496205488,0.8464521569072048,0.8273085830309356
PCA (20%),0.9427743571169866,0.9206128133704735,0.7184782608695652,0.8070818070818071,0.7921995162783666,0.790639861307014
Autoencoder (20%),0.9505613908004347,0.9069182389937107,0.783695652173913,0.8408163265306122,0.9031531659202993,0.850784052761198
BiLSTM (20%),0.8291530352599055,0.18421052631578946,0.007641921397379912,0.014675052410901468,0.4927218209207061,0.16415755766614248
